gps_num,gps_fix,gps_alt,app,SiteName,SiteAddr,s_d0,s_d1,s_h0,area,gps_lat,s_t0,gps_lon,date,device_id,name,time,s_d2,timestamp,c_d0,c_d0_method,hcho,odm,adf_status,fw_ver,s_g1,model
9,1,2,AirBox,08BEAC028604,N/A,11,12,100,taichuang,24.10211965,31.5,120.7249165,2020-09-25,08BEAC028604,TP_Area_1,01:17:42,8,2020-09-25T01:17:42Z,11,SVR/30/10.16,,,,,,
9,1,2,AirBox,08BEAC028614,N/A,6,6,64,taichuang,24.113738,28.86,120.66352,2020-09-25,08BEAC028614,中工-新實習大樓新建工程L,01:21:57,4,2020-09-25T01:21:57Z,6,SVR/30/4.83,,,,,,
9,1,2,AirBox,08BEAC028622,N/A,22,24,65,nantou,23.905,28.61,120.689,2020-09-25,08BEAC028622,佳音英語-南投分校,01:20:44,13,2020-09-25T01:20:44Z,13.98,GAM/30/0.98,,,,,,
9,1,2,AirBox,08BEAC028626,N/A,0,0,100,taichuang,24.09882084,31.11,120.7253515,2020-09-25,08BEAC028626,myPM2.5_26,01:17:24,0,2020-09-25T01:17:24Z,0,SVR/30/10.4,,,,,,
9,1,2,AirBox,08BEAC02862A,N/A,5,5,65,taichuang,24.113453,30.5,120.662486,2020-09-25,08BEAC02862A,中工-新實習大樓新建工程R,01:16:22,3,2020-09-25T01:16:22Z,5,SVR/30/4.81,,,,,,
9,1,2,AirBox,08BEAC02863A,N/A,32,37,74,chiayi_county,23.5578778,27.5,120.4356678,2020-09-25,08BEAC02863A,AI-1001W,01:17:21,20,2020-09-25T01:17:21Z,N/A,N/A,,,,,,
9,1,2,AirBox,08BEAC02863E,N/A,4,5,100,taichuang,24.301565,24.75,120.800889,2020-09-25,08BEAC02863E,富山預拌混凝土廠1,01:17:43,3,2020-09-25T01:17:43Z,4,SVR/30/10.0,,,,,,
9,1,2,AirBox,MO-MetSoc-09,N/A,36,44,72,,22.192,28.11,113.546,2020-09-25,08BEAC028660,澳門培道中學,01:19:32,22,2020-09-25T01:19:32Z,N/A,N/A,,,,,,
9,1,2,AirBox,iTribe振興部落(2020),N/A,4,5,100,pingtung,22.074,27.75,120.826,2020-09-25,08BEAC028664,iTribe長樂部落,01:17:20,2,2020-09-25T01:17:20Z,4,GAM/30/13.45,,,,,,
9,1,2,AirBox,iTribe振興部落(2020),N/A,15,16,84,hualien,23.48,25.5,121.404,2020-09-25,08BEAC028682,iTribe下德武部落,01:19:24,10,2020-09-25T01:19:24Z,9.89,SVR/14/58.13,,,,,,
9,1,2,AirBox,萬華-2(2020),Wanhua,33,37,100,taipei,25.046,24.12,121.508,2020-09-25,08BEAC028690,手動站：萬華站-2（690),01:19:12,23,2020-09-25T01:19:12Z,17.3,SVR/30/0.11,,,,,,
9,1,2,AirBox,08BEAC0286AE,N/A,44,54,73,new_taipei,25.05349005,25.5,121.4392031,2020-09-25,08BEAC0286AE,A05站1月台,01:18:57,27,2020-09-25T01:18:57Z,26.61,GAM/30/4.92,,,,,,
9,1,2,AirBox,三義-1(2020),Sanyi,12,12,92,taoyuan,24.94385652,21.37,121.2488829,2020-09-25,08BEAC0286B2,手動站：三義站-1（6B2）,01:21:31,9,2020-09-25T01:21:31Z,12,SVR/7/4.64,,,,,,
9,1,2,AirBox,台南-1(2020),Tainan,36,43,86,tainan,22.984,29.5,120.202,2020-09-25,08BEAC0286B8,手動站：臺南站-1（6B8),01:21:42,22,2020-09-25T01:21:42Z,19.2,GAM/14/0.15,,,,,,
9,1,2,AirBox,台南-2(2020),Tainan,36,46,73,tainan,22.984,28.36,120.202,2020-09-25,08BEAC0286C8,手動站:臺南站-2（6C8),01:17:55,21,2020-09-25T01:17:55Z,18.33,GAM/14/0.15,,,,,,
9,1,2,AirBox,板橋-2(2020),Banqiao,33,39,86,NA,25.012,26.87,121.458,2020-09-25,08BEAC0286CE,手動站：板橋站-2（6CE),01:22:00,21,2020-09-25T01:22:00Z,18.76,GAM/30/0.15,,,,,,
9,1,2,AirBox,08BEAC0286D2,N/A,14,15,66,changhua,23.876,30,120.529,2020-09-25,08BEAC0286D2,智造迷,01:20:05,10,2020-09-25T01:20:05Z,9.95,GAM/30/16.38,,,,,,
9,1,2,AirBox,08BEAC0286D8,N/A,40,48,77,new_taipei,25.01343248,23.87,121.2142493,2020-09-25,08BEAC0286D8,A18站PAO,01:16:16,26,2020-09-25T01:16:16Z,19.91,SVR/7/6.8,,,,,,
9,1,2,AirBox,忠明-1(2020),Zhongming,7,7,63,taichuang,24.151,28.36,120.641,2020-09-25,08BEAC0286DC,手動站：忠明站-1（6DC),01:18:20,4,2020-09-25T01:18:20Z,7,SVR/30/0.11,,,,,,
9,1,2,AirBox,忠明-2(2020),Zhongming,6,7,100,taichuang,24.151,28,120.641,2020-09-25,08BEAC0286DE,手動站：忠明站-2（6DE),01:21:01,4,2020-09-25T01:21:01Z,6,SVR/30/0.11,,,,,,
9,1,2,AirBox,AirBox-NUS-09,N/A,6,6,74,,1.36,28.25,103.75,2020-09-25,08BEAC0286E6,Bb12in,01:20:43,4,2020-09-25T01:20:43Z,N/A,N/A,,,,,,
9,1,2,AirBox,AirBox-NUS-03,N/A,23,24,100,,1.36,29.5,103.75,2020-09-25,08BEAC0286E8,Bbout,01:19:43,16,2020-09-25T01:19:43Z,N/A,N/A,,,,,,
