PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,ImportDate,SO2,SiteId,time,Pollutant
6,EPA_COPY,2020-09-25 09:00,1,8.2,1,21.958069,43,1.5,良好,Hengchun,1,恆春,一般測站,0.2,35,2,21.958069,0.19,2020-09-25T01:00:00Z,10,11,120.788928,120.788928,38,2.5,2020-09-25,EPA-Hengchun,3,10,屏東縣,2020-09-25 09:09:34.493000,0.7,61,01:00:00,
11,EPA_COPY,2020-09-25 09:00,1,2.2,3,23.757547,57,7.3,良好,Lunbei,2.3,崙背,一般測站,0.3,41,14,23.757547,0.3,2020-09-25T01:00:00Z,12,16,120.348742,120.348742,44,9.6,2020-09-25,EPA-Lunbei,3,21,雲林縣,2020-09-25 09:09:34.493000,2,38,01:00:00,
15,EPA_COPY,2020-09-25 09:00,1,1.2,2,25.017,28,40,良好,Yonghe,27,永和,交通測站,0.7,47,22,25.017,2.03,2020-09-25T01:00:00Z,156,19,121.516306,121.516306,46,67,2020-09-25,EPA-Yonghe,3,31,新北市,2020-09-25 09:09:34.493000,0.6,70,01:00:00,
18,EPA_COPY,2020-09-25 09:00,1,,3,25.0632,,63,普通,Datong,79,大同,交通測站,1,61,26,25.0632,2.75,2020-09-25T01:00:00Z,,,121.513311,121.513311,,142,2020-09-25,EPA-Datong,3,,臺北市,2020-09-25 09:09:34.493000,3.5,16,01:00:00,二氧化氮
7,EPA_COPY,2020-09-25 09:00,1,2.6,1,23.554839,48,7.2,良好,Xingang,0.9,新港,一般測站,0.3,34,8,23.554839,0.28,2020-09-25T01:00:00Z,1.9,14,120.345531,120.345531,37,8.1,2020-09-25,EPA-Xingang,3,28,嘉義縣,2020-09-25 09:09:34.493000,1.1,39,01:00:00,
20,EPA_COPY,2020-09-25 09:00,1,2.7,4,22.632567,30,17,普通,Qianjin,5,前金,一般測站,0.5,63,26,22.632567,0.61,2020-09-25T01:00:00Z,341,34,120.288086,120.288086,19,22,2020-09-25,EPA-Qianjin,3,47,高雄市,2020-09-25 09:09:34.493000,3.3,56,01:00:00,細懸浮微粒
18,EPA_COPY,2020-09-25 09:00,1,6.6,1,25.298562,69,3,普通,FugueiCape,0.1,富貴角,背景測站,0.2,100,22,25.297436,0.22,2020-09-25T01:00:00Z,33,45,121.536763,121.537975,70,3.1,2020-09-25,EPA-FugueiCape,3,47,新北市,2020-09-25 09:09:34.493000,0.4,84,01:00:00,臭氧八小時
16,EPA_COPY,2020-09-25 09:00,1,2.8,2,24.952786,57,16,普通,Pingzhen,1.2,平鎮,一般測站,0.3,52,24,24.954208,0.45,2020-09-25T01:00:00Z,86,10,121.203986,121.204981,55,18,2020-09-25,EPA-Pingzhen,3,,桃園市,2020-09-25 09:09:34.493000,1.9,20,01:00:00,細懸浮微粒
15,EPA_COPY,2020-09-25 09:00,1,2.8,2,25.060344,42,25,良好,Dayuan,5.2,大園,一般測站,0.3,49,17,25.060344,0.5,2020-09-25T01:00:00Z,133,22,121.201811,121.201811,52,30,2020-09-25,EPA-Dayuan,3,30,桃園市,2020-09-25 09:09:34.493000,3,18,01:00:00,
13,EPA_COPY,2020-09-25 09:00,1,1.7,2,25.06895,46,27,良好,Cailiao,3.5,菜寮,一般測站,0.4,43,24,25.06895,0.76,2020-09-25T01:00:00Z,141,18,121.481028,121.481028,46,30,2020-09-25,EPA-Cailiao,3,27,新北市,2020-09-25 09:09:34.493000,1.5,8,01:00:00,
18,EPA_COPY,2020-09-25 09:00,1,3.4,2,25.035503,49,19,普通,Guanyin,2.8,觀音,背景測站,0.3,56,24,25.035503,0.46,2020-09-25T01:00:00Z,91,26,121.082761,121.082761,54,21,2020-09-25,EPA-Guanyin,3,25,桃園市,2020-09-25 09:09:34.493000,2.6,19,01:00:00,細懸浮微粒
