PM2_5_AVG,app,PublishTime,fmt_opt,WindSpeed,SO2_AVG,Latitude,O3,NO2,Status,SiteEngName,NO,SiteName,SiteType,CO_8hr,AQI,PM2_5,gps_lat,CO,timestamp,WindDirec,PM10_AVG,Longitude,gps_lon,O3_8hr,NOx,date,device_id,ver_format,PM10,County,SO2,SiteId,time,Pollutant
4,EPA_COPY,2020-05-23 10:00,1,2.7,1,21.958069,46,1.7,▆,Hengchun,0.9,琄,代,0.1,44,5,21.958069,0.08,2020-05-23T02:00:00Z,274,12,120.788928,120.788928,47,2.6,2020-05-23,EPA-Hengchun,3,7,狥郡,0.7,61,02:00:00,
11,EPA_COPY,2020-05-23 10:00,1,1.5,2,23.757547,44,5.6,▆,Lunbei,2.6,盵璉,代,0.4,34,4,23.757547,0.31,2020-05-23T02:00:00Z,3,30,120.348742,120.348742,24,8.2,2020-05-23,EPA-Lunbei,3,84,冻狶郡,2.7,38,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,1.2,2,25.017,35,16,▆,Yonghe,6,ッ㎝,ユ硄代,0.4,37,4,25.017,0.65,2020-05-23T02:00:00Z,98,5,121.516306,121.516306,40,22,2020-05-23,EPA-Yonghe,3,4,穝カ,1.6,70,02:00:00,
11,EPA_COPY,2020-05-23 10:00,1,1.6,1,23.305633,33,10,▆,Xinying,1.5,穝犁,代,0.3,36,10,23.305633,0.31,2020-05-23T02:00:00Z,33,14,120.31725,120.31725,23,12,2020-05-23,EPA-Xinying,3,14,籓玭カ,2.4,43,02:00:00,
10,EPA_COPY,2020-05-23 10:00,1,1.8,2,23.554839,43,3.6,▆,Xingang,1.8,穝翠,代,0.4,32,8,23.554839,0.22,2020-05-23T02:00:00Z,351,13,120.345531,120.345531,26,5.4,2020-05-23,EPA-Xingang,3,6,古竡郡,1.2,39,02:00:00,
9,EPA_COPY,2020-05-23 10:00,1,1.3,2,22.632567,31,8.9,▆,Qianjin,2.2,玡,代,0.3,30,7,22.632567,0.31,2020-05-23T02:00:00Z,66,16,120.288086,120.288086,29,11,2020-05-23,EPA-Qianjin,3,0,蔼动カ,2.3,56,02:00:00,
1,EPA_COPY,2020-05-23 10:00,1,6.6,0,25.298562,57,1.1,炊硄,FugueiCape,0,碔禥à,璉春代,0.1,61,,25.297436,0.11,2020-05-23T02:00:00Z,36,18,121.536763,121.537975,58,1.1,2020-05-23,EPA-FugueiCape,3,18,穝カ,0,84,02:00:00,
6,EPA_COPY,2020-05-23 10:00,1,2.4,1,24.952786,37,18,▆,Pingzhen,3.2,キ马,代,0.3,37,7,24.954208,0.34,2020-05-23T02:00:00Z,38,6,121.203986,121.204981,40,22,2020-05-23,EPA-Pingzhen,3,9,堕カ,1.1,20,02:00:00,
1,EPA_COPY,2020-05-23 10:00,1,4.6,2,25.060344,42,15,▆,Dayuan,4.8,堕,代,0.2,44,2,25.060344,0.23,2020-05-23T02:00:00Z,30,5,121.201811,121.201811,48,20,2020-05-23,EPA-Dayuan,3,5,堕カ,2.4,18,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,3.5,2,25.035503,47,6.1,▆,Guanyin,0.7,芠,璉春代,0.2,45,3,25.035503,0.17,2020-05-23T02:00:00Z,60,6,121.082761,121.082761,49,6.8,2020-05-23,EPA-Guanyin,3,10,堕カ,2.2,19,02:00:00,
4,EPA_COPY,2020-05-23 10:00,1,0.8,1,24.256586,37,4.5,▆,Fengyuan,2,伦,代,0.2,21,,24.256586,0.21,2020-05-23T02:00:00Z,8.2,6,120.741711,120.741711,23,6.5,2020-05-23,EPA-Fengyuan,3,6,籓いカ,1,28,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,0.9,3,25.020608,39,13,▆,Guting,2.7,獸,代,0.3,40,,25.020608,0.33,2020-05-23T02:00:00Z,91,5,121.529556,121.529556,43,16,2020-05-23,EPA-Guting,3,4,籓カ,1,14,02:00:00,
10,EPA_COPY,2020-05-23 10:00,1,,3,25.072611,,47,▆,Sanchong,90,,ユ硄代,1.1,44,14,25.072611,2.16,2020-05-23T02:00:00Z,,10,121.493806,121.493806,,137,2020-05-23,EPA-Sanchong,3,16,穝カ,3.3,67,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,1.4,2,25.062361,35,19,▆,Zhongshan,1.8,い,代,0.3,35,3,25.062361,0.44,2020-05-23T02:00:00Z,132,5,121.526528,121.526528,38,21,2020-05-23,EPA-Zhongshan,3,7,籓カ,0.2,12,02:00:00,
8,EPA_COPY,2020-05-23 10:00,1,1,1,23.913,28,11,▆,Nantou,2.7,玭щ,代,0.4,25,8,23.913,0.43,2020-05-23T02:00:00Z,156,15,120.685306,120.685306,14,14,2020-05-23,EPA-Nantou,3,13,玭щ郡,1.5,36,02:00:00,
4,EPA_COPY,2020-05-23 10:00,1,1.9,2,24.066,25,9.2,▆,Changhua,4.5,裹て,代,0.3,14,,24.066,0.39,2020-05-23T02:00:00Z,359,8,120.541519,120.541519,15,14,2020-05-23,EPA-Changhua,3,8,裹て郡,3.1,33,02:00:00,
8,EPA_COPY,2020-05-23 10:00,1,1.4,1,22.673081,31,18,▆,Pingtung,2.4,狥,代,0.4,31,15,22.673081,0.52,2020-05-23T02:00:00Z,158,13,120.488033,120.488033,33,20,2020-05-23,EPA-Pingtung,3,17,狥郡,1.2,59,02:00:00,
9,EPA_COPY,2020-05-23 10:00,1,0.4,1,23.115097,29,4.3,▆,Shanhua,1,到て,代,0.3,30,12,23.115097,0.27,2020-05-23T02:00:00Z,35,12,120.297142,120.297142,22,5.2,2020-05-23,EPA-Shanhua,3,11,籓玭カ,1.9,44,02:00:00,
,EPA_COPY,2020-05-23 10:00,1,0.8,,25.129167,47,5.9,砞称蝴臔,Keelung,1.4,膀订,代,,,3,25.129167,0.21,2020-05-23T02:00:00Z,38,,121.760056,121.760056,,7.2,2020-05-23,EPA-Keelung,3,7,膀订カ,1.6,1,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,4.1,,23.569031,52,,▆,Magong,,皑そ,代,0.2,49,4,23.569031,0.18,2020-05-23T02:00:00Z,21,10,119.566158,119.566158,53,,2020-05-23,EPA-Magong,3,19,缄打郡,1.1,78,02:00:00,
7,EPA_COPY,2020-05-23 10:00,1,1.9,3,24.432133,38,8.9,▆,Kinmen,1.3,,代,0.2,34,10,24.432133,0.31,2020-05-23T02:00:00Z,45,18,118.312256,118.312256,37,10,2020-05-23,EPA-Kinmen,3,23,郡,3.7,77,02:00:00,
4,EPA_COPY,2020-05-23 10:00,1,1.2,2,25.046503,26,24,▆,Wanhua,5.5,窾地,代,0.3,31,5,25.046503,0.45,2020-05-23T02:00:00Z,161,6,121.507972,121.507972,33,30,2020-05-23,EPA-Wanhua,3,11,籓カ,0.3,13,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,1.2,2,25.067131,42,13,▆,Xizhi,2.1,αゎ,代,0.2,43,,25.065669,0.27,2020-05-23T02:00:00Z,42,5,121.6423,121.6408,46,15,2020-05-23,EPA-Xizhi,3,6,穝カ,1.3,2,02:00:00,
10,EPA_COPY,2020-05-23 10:00,1,0.9,1,22.4795,29,12,▆,Linyuan,1.9,狶堕,代,0.2,33,13,22.4795,0.21,2020-05-23T02:00:00Z,271,35,120.41175,120.41175,34,14,2020-05-23,EPA-Linyuan,3,27,蔼动カ,2.2,52,02:00:00,
8,EPA_COPY,2020-05-23 10:00,1,1.4,1,23.462778,31,10,▆,Chiayi,2.1,古竡,代,0.3,24,7,23.462778,0.37,2020-05-23T02:00:00Z,302,10,120.440833,120.440833,20,13,2020-05-23,EPA-Chiayi,3,10,古竡カ,1.9,42,02:00:00,
5,EPA_COPY,2020-05-23 10:00,1,1,2,22.605386,24,14,▆,Qianzhen,2.9,玡马,穨代,0.3,22,3,22.605386,0.38,2020-05-23T02:00:00Z,17,12,120.307564,120.307564,24,17,2020-05-23,EPA-Qianzhen,3,9,蔼动カ,1,57,02:00:00,
12,EPA_COPY,2020-05-23 10:00,1,0.7,1,23.048197,29,8.8,▆,Annan,1.1,玭,代,0.3,38,10,23.048333,0.31,2020-05-23T02:00:00Z,70,14,120.2175,120.218333,24,9.9,2020-05-23,EPA-Annan,3,18,籓玭カ,1.2,45,02:00:00,
10,EPA_COPY,2020-05-23 10:00,1,0.7,2,22.689056,21,18,▆,Renwu,5.7,く猌,代,0.3,32,11,22.689056,0.51,2020-05-23T02:00:00Z,238,15,120.332631,120.332631,25,24,2020-05-23,EPA-Renwu,3,10,蔼动カ,2.4,49,02:00:00,
2,EPA_COPY,2020-05-23 10:00,1,1,2,24.977222,40,15,▆,Xindian,1.8,穝┍,代,0.2,40,3,24.977222,0.34,2020-05-23T02:00:00Z,128,5,121.537778,121.537778,43,17,2020-05-23,EPA-Xindian,3,1,穝カ,1.5,4,02:00:00,
8,EPA_COPY,2020-05-23 10:00,1,1.4,3,24.099611,30,14,▆,Dali,3.3,ń,代,0.4,27,10,24.099611,0.54,2020-05-23T02:00:00Z,253,14,120.677689,120.677689,12,17,2020-05-23,EPA-Dali,3,16,籓いカ,3,30,02:00:00,
3,EPA_COPY,2020-05-23 10:00,1,1.2,1,24.740644,44,6.3,▆,Zhudong,2,λ狥,代,0.2,35,,24.740644,0.21,2020-05-23T02:00:00Z,357,5,121.088903,121.088903,38,8.3,2020-05-23,EPA-Zhudong,3,4,穝λ郡,2.1,23,02:00:00,
