hcho,gps_num,app,gps_alt,s_d2,odm,s_d0,s_d1,s_h0,SiteName,gps_fix,s_gg,gps_lat,s_t0,timestamp,adf_status,gps_lon,SiteAddr,date,device_id,s_g8,c_d0,fw_ver,s_g1,time,model,c_d0_method,name,area
0,9,AirBox,2,20,acelink.edimax,41,54,100,雲林縣縣立僑真國小,1,0,23.6676036,27.5,2020-05-23T02:19:20Z,0,120.4744785,雲林縣斗南鎮延平路二段六四二號,2020-05-23,08BEAC0A0270,0,70.72,v1.06,0,02:19:20,AI-1003WN,Theil-Sen/21/8.7,,
0,9,AirBox,2,20,acelink.edimax,31,33,100,嘉義縣縣立大崙國小,1,0,23.44376,27.6,2020-05-23T02:16:17Z,0,120.358493,嘉義縣水上鄉大崙村111號,2020-05-23,08BEAC0A06D8,0,21.72,v1.06,0,02:16:17,AI-1003WN,BRR/30/8.66,,
0,9,AirBox,2,16,acelink.edimax,25,27,85,臺中市立居仁國中,1,0,24.1372706422,27.3,2020-05-23T02:16:40Z,0,120.678788871,臺中市西區自由路一段97號,2020-05-23,08BEAC0A0274,0,12.74,v1.06,0,02:16:40,AI-1003WN,BRR/30/4.16,,
0,9,AirBox,2,18,acelink.edimax,34,42,100,雲林縣縣立大東國小,1,0,23.6763018,28.2,2020-05-23T02:18:43Z,0,120.4461987,雲林縣斗南鎮新崙里港漧一號,2020-05-23,08BEAC0A0276,0,59.43,v1.06,0,02:18:43,AI-1003WN,Theil-Sen/21/10.81,,
0,9,AirBox,2,14,acelink.edimax,26,28,100,臺南市市立新營區新興國小,1,0,23.2867671,27.2,2020-05-23T02:19:08Z,0,120.2762647,臺南市新營區太南里316號,2020-05-23,08BEAC0A06D4,0,N/A,v1.06,0,02:19:08,AI-1003WN,N/A,,
0,9,AirBox,2,7,acelink.edimax,11,11,94,桃園市市立雙龍國小,1,0,24.8565817972,24.3,2020-05-23T02:17:40Z,0,121.215067729,桃園市龍潭區神龍路346號,2020-05-23,08BEAC0A0278,0,N/A,v1.06,0,02:17:40,AI-1003WN,N/A,,
0,9,AirBox,2,7,acelink.edimax,11,15,100,嘉義縣縣立竹崎高中附設國中,1,0,23.5202646,27.7,2020-05-23T02:19:38Z,0,120.55313,嘉義縣竹崎鄉竹崎村文化路23號,2020-05-23,08BEAC0A06D6,0,7.98,v1.06,0,02:19:38,AI-1003WN,BRR/30/13.12,,
0,9,AirBox,2,0,acelink.edimax,0,0,100,桃園市市立霞雲國小,1,0,24.81653666,24.5,2020-05-23T02:16:42Z,0,121.3834933,桃園市復興區霞雲里六鄰14號,2020-05-23,08BEAC0A06D0,0,0,v1.06,0,02:16:42,AI-1003WN,BRR/30/21.43,,
0,9,AirBox,2,20,acelink.edimax,37,45,100,臺南市市立德南國小,1,0,22.97778288,28.2,2020-05-23T02:19:20Z,0,120.1866072,臺南市仁德區後壁里中正路二段209號,2020-05-23,08BEAC0A06D2,0,17.77,v1.06,0,02:19:20,AI-1003WN,BRR/14/1.8,,
,9,AirBox,2,0,,2,2,87,08BEAC028B32,1,,25.06024561,24.12,2020-05-23T02:14:20Z,,121.3698173,N/A,2020-05-23,08BEAC028B32,,2.31,,,02:14:20,,BRR/30/9.77,A08站3月台,new_taipei
0,9,AirBox,2,19,acelink.edimax,30,32,93,臺中市立四維國小,1,0,24.17052666,27,2020-05-23T02:16:55Z,0,120.695755,臺中市北屯區文心路四段956號,2020-05-23,08BEAC0A0074,0,13.73,v1.06,0,02:16:55,AI-1003WN,BRR/30/5.92,,
0,9,AirBox,2,4,acelink.edimax,7,7,89,臺中市立坪林國小,1,0,24.14439782,27.8,2020-05-23T02:19:36Z,0,120.6815866,臺中市太平區坪林里坪林路45號,2020-05-23,08BEAC0A0070,0,3.32,v1.06,0,02:19:36,AI-1003WN,BRR/30/4.19,,
,9,AirBox,2,3,,4,5,100,74DA38B0538E,1,,25.143,23.37,2020-05-23T02:16:17Z,,121.734,N/A,2020-05-23,74DA38B0538E,,N/A,,,02:16:17,,N/A,神奇寶貝-流浪頭基地,keelung
,9,AirBox,2,3,,4,5,100,74DA38B0538A,1,,25.041,25.12,2020-05-23T02:15:28Z,,121.556,N/A,2020-05-23,74DA38B0538A,,3.48,,,02:15:28,,BRR/14/4.88,神奇寶貝-達芙妮上面,taipei
