SiteAddr,SiteName,adf_status,app,area,c_d0,c_d0_method,date,device_id,fw_ver,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,hcho,model,name,odm,s_d0,s_d1,s_d2,s_g1,s_g8,s_gg,s_h0,s_t0,time,timestamp
雲林縣斗南鎮延平路二段六四二號,雲林縣縣立僑真國小,0,AirBox,,94.08,Theil-Sen/21/8.7,2020-05-24,08BEAC0A0270,v1.06,2.0,1.0,23.6676036,120.4744785,9.0,0,AI-1003WN,,acelink.edimax,56.0,70.0,32.0,0.0,0.0,0.0,100.0,28.1,01:36:17,2020-05-24T01:36:17Z
嘉義縣水上鄉大崙村111號,嘉義縣縣立大崙國小,0,AirBox,,33.47,Theil-Sen/30/8.66,2020-05-24,08BEAC0A06D8,v1.06,2.0,1.0,23.44376,120.358493,9.0,0,AI-1003WN,,acelink.edimax,50.0,63.0,29.0,0.0,0.0,0.0,99.0,28.3,01:34:41,2020-05-24T01:34:41Z
臺中市西區自由路一段97號,臺中市立居仁國中,0,AirBox,,11.84,BRR/30/4.16,2020-05-24,08BEAC0A0274,v1.06,2.0,1.0,24.1372706422,120.678788871,9.0,0,AI-1003WN,,acelink.edimax,20.0,22.0,11.0,0.0,0.0,0.0,75.0,29.6,01:35:15,2020-05-24T01:35:15Z
雲林縣斗南鎮新崙里港漧一號,雲林縣縣立大東國小,0,AirBox,,75.22,Theil-Sen/21/10.81,2020-05-24,08BEAC0A0276,v1.06,2.0,1.0,23.6763018,120.4461987,9.0,0,AI-1003WN,,acelink.edimax,44.0,55.0,27.0,0.0,0.0,0.0,97.0,29.6,01:35:50,2020-05-24T01:35:50Z
臺南市新營區太南里316號,臺南市市立新營區新興國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A06D4,v1.06,2.0,1.0,23.2867671,120.2762647,9.0,0,AI-1003WN,,acelink.edimax,50.0,62.0,31.0,0.0,0.0,0.0,99.0,27.8,01:36:50,2020-05-24T01:36:50Z
桃園市龍潭區神龍路346號,桃園市市立雙龍國小,0,AirBox,,N/A,N/A,2020-05-24,08BEAC0A0278,v1.06,2.0,1.0,24.8565817972,121.215067729,9.0,0,AI-1003WN,,acelink.edimax,7.0,8.0,4.0,0.0,0.0,0.0,82.0,26.1,01:38:54,2020-05-24T01:38:54Z
嘉義縣竹崎鄉竹崎村文化路23號,嘉義縣縣立竹崎高中附設國中,0,AirBox,,1.01,Theil-Sen/30/13.12,2020-05-24,08BEAC0A06D6,v1.06,2.0,1.0,23.5202646,120.55313,9.0,0,AI-1003WN,,acelink.edimax,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.2,01:35:25,2020-05-24T01:35:25Z
桃園市復興區霞雲里六鄰14號,桃園市市立霞雲國小,0,AirBox,,0.17,BRR/30/21.43,2020-05-24,08BEAC0A06D0,v1.06,2.0,1.0,24.81653666,121.3834933,9.0,0,AI-1003WN,,acelink.edimax,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27.0,01:38:54,2020-05-24T01:38:54Z
臺南市仁德區後壁里中正路二段209號,臺南市市立德南國小,0,AirBox,,20.64,Theil-Sen/14/1.8,2020-05-24,08BEAC0A06D2,v1.06,2.0,1.0,22.97778288,120.1866072,9.0,0,AI-1003WN,,acelink.edimax,48.0,61.0,26.0,0.0,0.0,0.0,100.0,28.3,01:38:05,2020-05-24T01:38:05Z
N/A,08BEAC028B32,,AirBox,new_taipei,12.36,BRR/30/9.77,2020-05-24,08BEAC028B32,,2.0,1.0,25.06024561,121.3698173,9.0,,,A08站3月台,,18.0,21.0,11.0,,,,79.0,25.75,01:34:58,2020-05-24T01:34:58Z
